MONTH_NAME,STATE,REGION,SEASON,EVENT_TYPE,INJURIES_TOTAL,DEATHS_TOTAL,DAMAGE_TOTAL_USD,plot_lat,plot_lon
March,GEORGIA,Southeast,Spring,Thunderstorm Wind,0,0,1000.0,33.4757,-85.238
March,MICHIGAN,Upper Midwest,Spring,Tornado,0,0,100000.0,41.79,-86.1
March,MINNESOTA,Upper Midwest,Spring,High Wind,0,0,0.0,46.3943,-94.6043
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,39.23,-103.79
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,40.51,-102.99
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,39.21,-103.79
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,39.23,-103.79
February,SOUTH DAKOTA,Northern Rockies and Plains,Winter,High Wind,0,0,0.0,44.3365,-99.7238
May,KANSAS,South,Spring,Hail,0,0,0.0,37.81,-100.41
May,KANSAS,South,Spring,Tornado,0,0,0.0,37.89,-99.37
March,MISSISSIPPI,South,Spring,Thunderstorm Wind,0,0,10000.0,33.881,-89.129
March,TENNESSEE,Ohio Valley,Spring,Tornado,0,0,10000.0,35.0966,-89.0021
March,TENNESSEE,Ohio Valley,Spring,Thunderstorm Wind,0,0,10000.0,35.068,-89.033
March,MISSISSIPPI,South,Spring,Tornado,0,0,10000.0,33.9719,-88.5998
March,TENNESSEE,Ohio Valley,Spring,Hail,0,0,0.0,36.0945,-88.82
March,ARKANSAS,South,Spring,Tornado,0,0,50000.0,35.9601,-90.6996
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,38.85,-103.75
March,IOWA,Upper Midwest,Spring,High Wind,0,0,0.0,41.9358,-93.3714
March,ARKANSAS,South,Spring,Hail,0,0,0.0,35.65,-90.97
March,MISSOURI,Ohio Valley,Spring,Hail,0,0,0.0,36.09,-90.15
March,MISSOURI,Ohio Valley,Spring,Hail,0,0,0.0,36.3,-89.83
March,MISSOURI,Ohio Valley,Spring,Thunderstorm Wind,0,0,10000.0,36.09,-90.15
March,TENNESSEE,Ohio Valley,Spring,Hail,0,0,0.0,35.19,-88.24
March,PENNSYLVANIA,Northeast,Spring,Thunderstorm Wind,0,0,25000.0,40.54,-79.09
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,39.07,-103.61
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,40.26,-103.67
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,40.26,-103.65
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,39.04,-103.48
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,39.02,-103.48
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,39.01,-103.48
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,38.85,-103.56
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,38.76,-103.42
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,38.76,-103.39
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,38.85,-103.31
March,OHIO,Ohio Valley,Spring,Thunderstorm Wind,0,0,1000.0,40.8941,-80.5753
August,COLORADO,Southwest,Summer,Hail,0,0,0.0,38.79,-103.48
May,KANSAS,South,Spring,Tornado,0,0,0.0,37.5,-99.33
May,KANSAS,South,Spring,Thunderstorm Wind,0,0,0.0,38.45,-99.76
